statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
710,740,7,25,1894,3,30,1895,1895,3,1,3,1,3.0,10000.0,5000.0,1,248,5000.0,15000.0
740,710,7,25,1894,3,30,1895,1894,1,3,1,3,1.0,5000.0,10000.0,2,248,-5000.0,15000.0
740,710,7,25,1894,3,30,1895,1895,1,3,1,3,1.0,5000.0,10000.0,1,248,-5000.0,15000.0
350,640,2,15,1897,5,19,1897,1897,1,3,1,3,3.0,600.0,1400.0,1,93,-800.0,2000.0
640,350,2,15,1897,5,19,1897,1897,3,1,3,1,1.0,1400.0,600.0,1,93,800.0,2000.0
2,230,5,1,1898,6,17,1898,1898,1,3,1,3,1.0,2910.0,775.0,1,47,2135.0,3685.0
230,2,5,1,1898,6,17,1898,1898,3,1,3,1,3.0,775.0,2910.0,1,47,-2135.0,3685.0
2,710,6,17,1900,8,15,1900,1900,1,3,1,3,1.0,21.0,2000.0,1,59,-1979.0,2021.0
710,2,6,17,1900,8,15,1900,1900,3,1,3,1,3.0,2000.0,21.0,1,59,1979.0,2021.0
200,710,6,17,1900,8,15,1900,1900,1,3,1,3,1.0,34.0,2000.0,1,59,-1966.0,2034.0
710,200,6,17,1900,8,15,1900,1900,3,1,3,1,3.0,2000.0,34.0,1,59,1966.0,2034.0
220,710,6,17,1900,8,15,1900,1900,1,3,1,3,1.0,24.0,2000.0,1,59,-1976.0,2024.0
710,220,6,17,1900,8,15,1900,1900,3,1,3,1,3.0,2000.0,24.0,1,59,1976.0,2024.0
365,710,6,17,1900,8,15,1900,1900,1,3,1,3,1.0,302.0,2000.0,1,59,-1698.0,2302.0
710,365,6,17,1900,8,15,1900,1900,3,1,3,1,3.0,2000.0,302.0,1,59,1698.0,2302.0
710,740,6,17,1900,8,15,1900,1900,3,1,3,1,3.0,2000.0,602.0,1,59,1398.0,2602.0
740,710,6,17,1900,8,15,1900,1900,1,3,1,3,1.0,602.0,2000.0,1,59,-1398.0,2602.0
365,710,7,30,1900,10,10,1900,1900,1,3,1,3,1.0,242.0,3578.0,1,72,-3336.0,3820.0
710,365,7,30,1900,10,10,1900,1900,3,1,3,1,3.0,3578.0,242.0,1,72,3336.0,3820.0
365,740,2,8,1904,7,7,1905,1904,3,1,3,1,3.0,71453.0,80378.0,1,515,-8925.0,151831.0
365,740,2,8,1904,7,7,1905,1905,3,1,3,1,3.0,71453.0,80378.0,2,515,-8925.0,151831.0
